Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Nick Maton,28,184,Maj-AL,Chicago,25,63,54,5,9,2,0,2,4,9,0,19,0,0,0,0,0,1,0.167,0.286,0.315,0.601,665155
Luis Matos,23,56,Maj-NL,San Francisco,57,184,172,26,38,9,1,8,22,11,0,27,0,0,1,5,4,0,0.221,0.266,0.424,0.691,682641
Brice Matthews,23,41,Maj-AL,Houston,13,47,42,6,7,0,0,4,9,2,0,20,1,2,0,0,1,0,0.167,0.222,0.452,0.675,694728
Ronny Mauricio,24,41,Maj-NL,New York,61,184,168,19,38,6,0,6,10,15,1,54,1,0,0,5,4,0,0.226,0.293,0.369,0.663,677595
Marcelo Mayer,22,108,Maj-AL,Boston,44,136,127,19,29,8,1,4,10,8,0,41,0,0,1,2,0,2,0.228,0.272,0.402,0.674,691785
Coby Mayo,23,41,Maj-AL,Baltimore,85,294,263,30,57,12,0,11,28,27,0,84,4,0,0,2,3,0,0.217,0.299,0.388,0.687,691723
James McCann,35,41,Maj-NL,Arizona,42,137,123,18,32,6,0,5,17,8,0,33,4,1,1,3,0,0,0.26,0.324,0.431,0.754,543510
Jake McCarthy,27,41,Maj-NL,Arizona,67,222,206,18,42,7,5,4,20,10,0,40,2,3,1,2,6,0,0.204,0.247,0.345,0.591,664983
Chas McCormick,30,72,Maj-AL,Houston,64,116,100,13,21,5,0,1,5,9,0,31,1,5,1,1,2,3,0.21,0.279,0.29,0.569,676801
Mason McCoy,30,41,Maj-NL,San Diego,18,26,22,5,3,1,0,0,1,3,0,7,1,0,0,0,2,0,0.136,0.269,0.182,0.451,669200
Grant McCray,24,41,Maj-NL,San Francisco,22,26,22,3,2,0,1,0,2,2,0,11,0,1,1,1,0,0,0.091,0.16,0.182,0.342,687529
Carson McCusker,27,41,Maj-AL,Minnesota,16,30,29,0,5,0,0,0,1,1,0,16,0,0,0,0,0,1,0.172,0.2,0.172,0.372,676812
Andrew McCutchen,38,41,Maj-NL,Pittsburgh,135,551,477,51,114,22,0,13,57,67,5,118,2,0,3,12,1,1,0.239,0.333,0.367,0.7,457705
Reese McGuire,30,41,Maj-NL,Chicago,44,140,133,17,30,2,0,9,24,4,0,27,0,1,2,3,0,0,0.226,0.245,0.444,0.688,624512
Billy McKinney,30,41,Maj-AL,Texas,6,21,20,4,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0.2,0.238,0.25,0.488,641856
Zach McKinstry,30,29,Maj-AL,Detroit,152,545,481,70,122,23,11,12,52,50,1,121,7,2,5,6,20,5,0.254,0.33,0.422,0.752,656716
Matt McLain,25,38,Maj-NL,Cincinnati,149,585,517,74,114,19,0,15,50,56,0,172,5,3,4,8,18,2,0.221,0.301,0.344,0.645,680574
Ryan McMahon,30,31,"Maj-AL,Maj-NL","Colorado,New York",160,601,523,64,113,23,1,21,54,71,1,191,4,0,3,7,3,1,0.216,0.313,0.384,0.697,641857
Jeff McNeil,33,41,Maj-NL,New York,122,462,399,42,97,21,5,12,54,49,4,55,8,2,4,5,3,0,0.243,0.335,0.411,0.746,643446
Curtis Mead,24,41,Maj-AL,"Chicago,Tampa Bay",90,264,240,26,56,10,1,3,19,15,0,63,8,0,1,9,5,1,0.233,0.299,0.321,0.62,678554
Parker Meadows,25,29,Maj-AL,Detroit,66,245,220,25,45,6,2,4,16,22,0,66,0,2,1,0,4,0,0.205,0.276,0.305,0.58,678009
Chase Meidroth,23,41,Maj-AL,Chicago,122,505,450,54,114,15,0,5,23,45,0,72,6,3,1,14,14,4,0.253,0.329,0.32,0.649,805367
MJ Melendez,26,101,Maj-AL,Kansas City,23,65,60,5,5,2,0,1,1,3,0,23,2,0,0,0,0,0,0.083,0.154,0.167,0.321,669004
Jacob Melton,24,41,Maj-AL,Houston,32,78,70,7,11,0,1,0,7,6,0,29,1,0,0,2,7,2,0.157,0.234,0.186,0.419,689200
Jackson Merrill,22,37,Maj-NL,San Diego,118,495,449,61,119,27,6,17,69,34,1,110,4,2,6,5,1,2,0.265,0.318,0.465,0.784,701538
Matt Mervis,27,166,Maj-NL,Miami,42,134,120,15,21,4,0,7,14,11,1,50,2,0,1,1,0,0,0.175,0.254,0.383,0.637,670223
V\xc3\xadctor Mesa Jr.,23,55,Maj-NL,Miami,16,38,32,7,6,2,0,1,6,5,0,5,0,1,0,0,0,0,0.188,0.297,0.344,0.641,683748
Jake Meyers,29,45,Maj-AL,Houston,103,381,343,53,100,15,2,3,24,31,0,67,3,2,2,9,16,5,0.292,0.354,0.373,0.727,676694
Drew Millas,27,73,Maj-NL,Washington,18,55,49,6,15,5,1,0,7,4,0,7,0,1,0,0,2,0,0.306,0.358,0.449,0.807,686452
Owen Miller,28,178,Maj-NL,Colorado,9,17,14,0,2,0,0,0,1,2,0,4,1,0,0,0,1,0,0.143,0.294,0.143,0.437,680911
Jos\xc3\xa9 Miranda,27,210,Maj-AL,Minnesota,12,36,36,2,6,0,0,1,5,0,0,13,0,0,0,0,0,0,0.167,0.167,0.25,0.417,669304
Kameron Misner,27,140,Maj-AL,Tampa Bay,71,217,197,27,42,9,1,5,22,16,0,69,1,1,2,1,8,1,0.213,0.273,0.345,0.618,670224
Garrett Mitchell,26,197,Maj-NL,Milwaukee,25,78,68,9,14,4,1,0,3,7,0,25,1,1,1,0,3,0,0.206,0.286,0.294,0.58,669003
Andruw Monasterio,28,22,Maj-NL,Milwaukee,69,136,126,19,34,9,0,4,16,8,0,32,2,0,0,1,2,1,0.27,0.324,0.437,0.76,655316
Yo\xc3\xa1n Moncada,30,44,Maj-AL,Los Angeles,83,289,248,39,58,13,2,12,35,32,1,75,7,0,2,4,0,0,0.234,0.336,0.448,0.783,660162
Mickey Moniak,27,44,Maj-NL,Colorado,135,461,434,62,117,20,8,24,68,22,1,110,2,0,3,4,9,3,0.27,0.306,0.518,0.824,666160
Coco Montes,28,206,Maj-AL,Tampa Bay,5,10,10,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,663796
Colson Montgomery,23,41,Maj-AL,Chicago,71,284,255,43,61,9,1,21,55,25,1,83,2,0,1,3,0,0,0.239,0.311,0.529,0.84,695657
Christian Moore,22,41,Maj-AL,Los Angeles,53,184,162,20,32,5,1,7,16,19,0,62,1,1,1,3,3,0,0.198,0.284,0.37,0.655,695681
Dylan Moore,32,41,Maj-AL,"Seattle,Texas",106,243,219,35,44,5,0,11,25,20,0,82,1,0,3,1,14,5,0.201,0.267,0.374,0.642,664238
Christopher Morel,26,42,Maj-AL,Tampa Bay,105,305,278,37,61,16,0,11,33,25,0,109,2,0,0,8,7,2,0.219,0.289,0.396,0.684,666624
Gabriel Moreno,25,41,Maj-NL,Arizona,83,309,277,44,79,12,1,9,40,29,3,53,1,0,2,6,2,2,0.285,0.353,0.433,0.786,672515
Ryan Mountcastle,28,41,Maj-AL,Baltimore,89,357,332,34,83,18,0,7,35,15,0,98,4,0,6,10,3,0,0.25,0.286,0.367,0.653,663624
Cedric Mullins,30,41,"Maj-AL,Maj-NL","Baltimore,New York",133,498,435,58,94,23,1,17,59,50,0,120,4,3,6,2,22,4,0.216,0.299,0.391,0.69,656775
Max Muncy,34,7,Maj-NL,Los Angeles,117,456,369,56,88,12,2,22,70,75,3,100,7,0,5,6,4,0,0.238,0.373,0.461,0.834,571970
Max Muncy,22,41,Maj-AL,Athletics,63,220,206,17,44,7,0,9,23,10,0,68,3,0,1,1,1,1,0.214,0.259,0.379,0.638,691777
Sean Murphy,30,63,Maj-NL,Atlanta,94,337,291,34,58,13,0,16,45,35,1,105,8,0,3,9,0,0,0.199,0.3,0.409,0.709,669221
Dane Myers,29,46,Maj-NL,Miami,106,333,307,29,72,10,0,6,31,23,0,77,2,0,1,12,18,5,0.235,0.291,0.326,0.617,667472
Carlos Narv\xc3\xa1ez,26,37,Maj-AL,Boston,121,457,411,51,97,27,0,15,50,41,0,115,1,2,2,13,1,1,0.236,0.305,0.411,0.717,665966
Omar Narv\xc3\xa1ez,33,206,Maj-AL,Chicago,4,10,7,1,2,0,0,0,3,2,0,1,0,0,1,0,0,0,0.286,0.4,0.286,0.686,553882
Brian Navarreto,30,41,Maj-NL,Miami,8,15,14,3,4,2,0,1,5,0,0,3,0,0,1,0,0,0,0.286,0.267,0.643,0.91,640459
Bo Naylor,25,37,Maj-AL,Cleveland,126,422,367,47,71,22,1,15,50,45,0,100,1,3,6,4,1,2,0.193,0.279,0.381,0.661,666310
Josh Naylor,28,19,"Maj-AL,Maj-NL","Arizona,Seattle",159,655,590,88,176,31,1,23,97,52,4,89,4,0,5,18,32,2,0.298,0.356,0.471,0.828,647304
Ryne Nelson,27,223,Maj-NL,Arizona,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,669194
Zach Neto,24,58,Maj-AL,Los Angeles,128,554,502,82,129,29,1,26,62,33,6,149,14,2,3,5,26,9,0.257,0.319,0.474,0.793,687263
Kevin Newman,31,102,Maj-AL,Los Angeles,56,116,114,13,23,2,0,2,11,1,0,23,0,1,0,5,1,0,0.202,0.209,0.272,0.481,621028
Tom\xc3\xa1s Nido,31,175,Maj-AL,Detroit,10,37,35,4,12,0,0,0,2,0,0,10,1,1,0,1,0,0,0.343,0.361,0.343,0.704,621512
Brandon Nimmo,32,41,Maj-NL,New York,155,652,587,81,154,27,0,25,92,50,1,141,7,1,7,8,13,1,0.262,0.324,0.436,0.76,607043
Ryan Noda,29,87,Maj-AL,"Baltimore,Chicago",23,59,47,3,5,0,0,1,2,11,2,25,0,1,0,0,1,0,0.106,0.276,0.17,0.446,676116
Jhonkensy Noel,23,39,Maj-AL,Cleveland,70,156,151,19,24,2,0,6,13,4,0,55,0,0,1,4,0,0,0.159,0.179,0.291,0.471,678877
Austin Nola,35,90,Maj-NL,Colorado,14,41,38,2,7,1,0,0,1,2,0,5,0,1,0,2,0,0,0.184,0.225,0.211,0.436,543592
Lars Nootbaar,27,42,Maj-NL,St. Louis,135,583,509,68,119,24,1,13,48,64,3,119,6,1,3,4,4,5,0.234,0.325,0.361,0.686,663457
Connor Norby,25,41,Maj-NL,Miami,88,337,311,42,78,17,1,8,34,18,0,90,5,0,3,3,8,2,0.251,0.3,0.389,0.689,681393
Dom Nu\xc3\xb1ez,30,150,Maj-AL,Cleveland,2,7,7,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0.286,0.286,0.286,0.571,624513
Nasim Nu\xc3\xb1ez,24,41,Maj-NL,Washington,39,92,82,13,19,2,0,4,13,8,0,20,0,1,1,1,9,1,0.232,0.297,0.402,0.699,683083
Ryan O\'Hearn,31,37,"Maj-AL,Maj-NL","Baltimore,San Diego",147,555,483,67,135,21,1,17,63,59,4,110,9,0,4,11,3,1,0.28,0.366,0.433,0.798,656811
Logan O\'Hoppe,25,41,Maj-AL,Los Angeles,119,451,423,35,90,8,1,19,43,24,0,139,2,1,1,12,2,1,0.213,0.258,0.371,0.629,681351
Tyler O\'Neill,30,41,Maj-AL,Baltimore,54,209,181,22,36,6,1,9,26,22,1,51,3,0,3,2,4,0,0.199,0.292,0.392,0.684,641933
Shinnosuke Ogasawara,27,73,Maj-NL,Washington,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,829272
Shohei Ohtani,30,7,Maj-NL,Los Angeles,175,811,679,159,190,28,10,63,116,125,29,210,3,0,2,9,21,7,0.28,0.393,0.629,1.022,660271
Matt Olson,31,41,Maj-NL,Atlanta,162,724,624,98,170,41,2,29,95,91,2,176,4,0,5,14,1,0,0.272,0.366,0.484,0.85,621566
